station id,depth,Water C,DO MG/L,SPC,TDS mg/L,PH,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
,12,9.4,1.06,58.60,37.70,5.73,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,21.1,8.54,49.30,39.85,6.97,date/time:,2020/Sep/22 11:00,,,,,,,,,,,,
,1,21.1,8.43,49.60,32.50,6.99,weather:,"sunny, calm changed to windy",,,,,,,,,,,,
,2,21.2,8.35,49.30,31.85,7.02,people:,Gina and Carrie,,,,,,,,,,,,
,3,21.1,8.25,49.30,31.50,7.03,air temp (C):, 	17.5 ,,,,,,,,,,,,
,4,21.1,8.11,49.40,32.50,7.07,secchi 1 (m):, 	4.9 ,,,,,,,,,,,,
,5,21.1,8.02,49.20,31.85,7.05,secchi 2 (m):, 	5.8 ,,,,,,,,,,,,
,6,20.7,8.02,49.30,31.85,7.07,Nitrogen (ug/L):, 	0.1950 ,,,,,,,,,,,,
,7,18.1,5.05,49.90,31.85,6.92,Phosporus (ug/L):, 	0.0046 ,,,,,,,,,,,,
,8,14.0,2.29,49.00,31.85,6.44,,,,,,,,,,,,,,
,9,11.6,1.51,51.00,33.15,6.14,DATA NOTES,,,,,,,,,,,,,
,10,10.5,1.10,56.40,37.05,5.84,,,,,,,,,,,,,,
,11,9.8,1.10,61.70,39.65,5.83,,,,,,,,,,,,,,
,12,na,na,na,na,na,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,12.6,9.72,48.70,31.85,6.71,date/time:,2020/Nov/02 11:00,,,,,,,,,,,,
,1,12.5,9.10,48.90,31.85,6.69,weather:,"cloudy, light to strong wind sw (changed from ne)",,,,,,,,,,,,
,2,12.5,9.24,48.70,31.20,6.69,people:,Gina and Carrie,,,,,,,,,,,,
,3,12.6,9.16,48.50,31.20,6.67,air temp (C):, 	11.5 ,,,,,,,,,,,,
,4,12.7,9.26,48.50,31.85,6.69,secchi 1 (m):, 	4.0 ,,,,,,,,,,,,
,5,12.5,9.10,48.90,31.20,6.65,secchi 2 (m):, 	3.7 ,,,,,,,,,,,,
,6,12.4,9.14,48.40,31.20,6.69,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,12.4,9.20,48.60,31.85,6.71,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,12.6,9.26,48.50,31.85,6.67,,,,,,,,,,,,,,
,9,12.5,9.09,48.50,31.85,6.68,DATA NOTES,,,,,,,,,,,,,
,10,12.6,9.04,48.60,31.20,6.67,,,,,,,,,,,,,,
,11,12.7,8.91,48.90,31.20,6.69,,,,,,,,,,,,,,
,12,12.4,8.05,49.00,31.20,6.65,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,8.3,11.90,48.70,31.85,6.88,date/time:,2020/Dec/09 9:30,,,,,,,,,,,,
,1,8.3,11.51,48.80,31.20,6.72,weather:,high misty clouds,,,,,,,,,,,,
,2,7.9,11.36,47.70,31.20,6.64,people:,Max and Carrie,,,,,,,,,,,,
,3,8.2,11.36,48.00,31.20,6.58,air temp (C):, 	9.0 ,,,,,,,,,,,,
,4,8.4,11.13,47.70,31.20,6.57,secchi 1 (m):, 	6.5 ,,,,,,,,,,,,
,5,8.1,11.22,48.10,31.20,6.58,secchi 2 (m):, 	6.6 ,,,,,,,,,,,,
,6,8.5,11.43,47.50,31.20,6.60,Nitrogen (ug/L):,na,,,,,,,,,,,,
,7,8.0,11.16,47.50,31.20,6.63,Phosporus (ug/L):,na,,,,,,,,,,,,
,8,8.4,11.28,47.50,31.20,6.66,,,,,,,,,,,,,,
,9,8.4,11.17,47.70,31.20,6.68,DATA NOTES,,,,,,,,,,,,,
,10,8.1,11.08,47.60,31.20,6.67,,,,,,,,,,,,,,
,11,8.1,11.14,48.00,31.20,6.71,,,,,,,,,,,,,,
,12,8.0,10.82,48.10,31.20,6.70,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,
DWH,0,6.9,11.88,47.20,30.55,6.49,date/time:,2021/Jan/14 11:45,,,,,,,,,,,,
